"","OBJECTID","noxn"
"568","NZL00072",0.022375
"569","NZL00073",0.0332666666666667
"570","NZL00074",0.04715
"571","NZL00075",0.103466666666667
"572","NZL00076",0.893133333333333
"573","NZL00077",0.193316666666667
"574","NZL00078",0.429258333333333
"575","NZL00079",1.097175
"576","NZL00080",0.192133333333333
"577","NZL00081",0.00904166666666667
"578","PAK00003",2.41666666666667
"579","PAK00004",3.16666666666667
"580","PAK00005",2.75
"581","PAK00006",3.32
"582","POL00001",2.07375
"583","POL00002",1.38852
"584","POL00003",1.60545833333333
"585","POL00004",2.96583333333333
"586","POL00005",2.90057692307692
"587","POL00006",1.6714
"588","THA00008",0.3886
"589","THA00009",0.408
"590","THA00010",0.2703
"591","TUR00005",0.0951818181818182
"592","TUR00006",0.176153846153846
"593","TUR00007",1.24181818181818
"594","TUR00008",0.06
"595","TUR00009",0.0713636363636364
"596","TUR00010",1.82972727272727
"597","TUR00011",0.578181818181818
"598","TUR00012",0.512
"599","TUR00013",0.727
"600","VNM00001",0.169
"601","VNM00002",0.227666666666667
"602","VNM00003",0.258666666666667
"603","VNM00004",0.254083333333333
"604","VNM00005",0.263
"605","ZAF00001",0.137794117647059
"606","ZAF00002",0.314945945945946
"607","ZAF00003",0.0411818181818182
"608","ZAF00004",0.62858
"609","ZAF00005",4.48817647058824
"610","ZAF00006",0.1058
"611","ZAF00007",0.0535454545454545
"612","ZAF00008",0.645045454545455
"613","ZAF00009",0.3439
"614","ZAF00010",0.171727272727273
"615","ZAF00012",0.311133333333333
"616","ZAF00013",0.635961538461538
"617","ZAF00014",0.138428571428571
"618","ZAF00015",1.16663636363636
"619","ARG00001",0.239166666666667
"620","ARG00012",0.394833333333333
"621","CAN00010",0.43
"622","CAN00031",0.376
"623","CAN00032",0.36
"624","CAN00033",0.362
"625","CAN00034",0.37
"626","CAN00035",0.373
"627","CAN00044",0.433
"628","CAN00045",0.311
"629","CAN00046",0.418
"630","CAN00048",0.415
"631","IND00001",0.985
"632","IND00002",0.652454545454545
"633","IND00004",0.208181818181818
"634","IND00005",0.224545454545455
"635","IND00007",0.141
"636","IND00010",0.1
"637","IND00011",0.6706
"638","IND00028",1.6662
"639","IND00031",0.105
"640","IND00036",0.3882
"641","IND00037",0.7225
"642","IND00044",0.11
"643","IND00045",0.24
"644","IND00046",0.2314
"645","IND00047",0.244454545454545
"646","IND00050",0.34
"647","IND00051",0.313666666666667
"648","IND00055",0.1525
"649","IND00056",1.62
"650","IND00062",2.79933333333333
"651","IND00063",0.318571428571429
"652","IND00064",0.27
"653","IND00065",0.4
"654","IND00066",0.22
"655","IND00067",0.7025
"656","IND00068",0.32725
"657","IND00070",2.9845
"658","IND00071",0.306
"659","IND00072",0.469625
"660","JPN00001",1
"661","JPN00003",2.22083333333333
"662","JPN00007",1.4825
"663","JPN00010",0.396666666666667
"664","JPN00011",0.4175
"665","JPN00013",1.22916666666667
"666","JPN00014",0.449166666666667
"667","JPN00015",0.646666666666667
"668","JPN00016",0.06
"669","JPN00017",0.570833333333333
"670","JPN00019",0.145
"671","JPN00020",0.1375
"672","JPN00021",0.701666666666667
"673","JPN00022",0.284166666666667
"674","JPN00023",0.883333333333333
"675","JPN00025",0.666666666666667
"676","JPN00026",0.2065
"677","JPN00027",0.163916666666667
"678","JPN00028",1.1225
"679","KHM00001",0.099
"680","KHM00002",0.0974166666666667
"681","KHM00003",0.105416666666667
"682","KHM00004",0.140083333333333
"683","KHM00006",0.137833333333333
"684","KHM00011",0.143916666666667
"685","LAO00001",0.152083333333333
"686","LAO00002",0.23825
"687","LAO00003",0.133583333333333
"688","LAO00020",0.17725
"689","MAR00001",1.615
"690","MAR00006",1.86444444444444
"691","MAR00008",0.488333333333333
"692","NZL00005",0.0313416666666667
"693","NZL00006",0.296633333333333
"694","NZL00007",0.166241666666667
"695","NZL00008",0.388358333333333
"696","NZL00009",0.3775
"697","NZL00010",0.23595
"698","NZL00011",0.278875
"699","NZL00012",0.684741666666667
"700","NZL00013",0.176766666666667
"701","NZL00014",0.304475
"702","NZL00015",1.09704166666667
"703","NZL00016",0.405691666666667
"704","NZL00017",0.00100833333333333
"705","NZL00018",0.387825
"706","NZL00019",0.575166666666667
"707","NZL00020",0.11975
"708","NZL00021",0.267591666666667
"709","NZL00022",0.00206666666666667
"710","NZL00023",0.261091666666667
"711","NZL00024",0.0293833333333333
"712","NZL00025",0.296466666666667
"713","NZL00026",0.116525
"714","NZL00027",1.76250833333333
"715","NZL00028",0.155041666666667
"716","NZL00029",0.057475
"717","NZL00030",0.130833333333333
"718","NZL00031",0.4898
"719","NZL00032",0.620541666666667
"720","NZL00033",0.731658333333333
"721","NZL00034",0.193925
"722","NZL00035",0.271375
"723","NZL00036",0.188566666666667
"724","NZL00037",0.090125
"725","NZL00038",0.0692833333333333
"726","NZL00039",0.5738
"727","NZL00040",0.100741666666667
"728","NZL00041",0.0098
"729","NZL00042",0.100925
"730","NZL00043",0.163658333333333
"731","NZL00044",0.258716666666667
"732","NZL00045",0.04
"733","NZL00046",0.531875
"734","NZL00047",0.767783333333333
"735","NZL00048",0.0472333333333333
"736","NZL00049",0.20035
"737","NZL00050",0.0250583333333333
"738","NZL00051",0.0119583333333333
"739","NZL00052",0.0910333333333333
"740","NZL00053",0.026725
"741","NZL00054",0.0588833333333333
"742","NZL00055",0.108866666666667
"743","NZL00056",0.0278083333333333
"744","NZL00057",0.0331916666666667
"745","NZL00058",0.0155166666666667
"746","NZL00059",0.336008333333333
"747","NZL00060",0.0632916666666667
"748","NZL00061",0.05865
"749","NZL00062",0.431866666666667
"750","NZL00063",0.967963636363636
"751","NZL00064",0.223266666666667
"752","NZL00065",0.00705
"753","NZL00066",0.013775
"754","NZL00067",0.0461083333333333
"755","NZL00068",0.037675
"756","NZL00069",0.026175
"757","NZL00070",0.0219833333333333
"758","NZL00071",0.0343166666666667
"759","NZL00072",0.01955
"760","NZL00073",0.013675
"761","NZL00074",0.022475
"762","NZL00075",0.0603416666666667
"763","NZL00076",1.10321666666667
"764","NZL00077",0.278208333333333
"765","NZL00078",0.5243
"766","NZL00079",0.942233333333333
"767","NZL00080",0.227083333333333
"768","NZL00081",0.010525
"769","PAK00003",2.2
"770","PAK00004",3.5
"771","PAK00005",2.7
"772","PAK00006",3.8
"773","POL00001",2.0113
"774","POL00002",1.0792380952381
"775","POL00003",1.04911111111111
"776","POL00004",3.651
"777","POL00005",2.38054545454545
"778","POL00006",1.33472727272727
"779","THA00008",0.361142857142857
"780","THA00009",0.414666666666667
"781","THA00010",0.462818181818182
"782","TZA00003",0.273142857142857
"783","VNM00001",0.215583333333333
"784","VNM00002",0.230416666666667
"785","VNM00003",0.171333333333333
"786","VNM00004",0.19675
"787","VNM00005",0.226833333333333
"788","ZAF00001",0.0800681818181818
"789","ZAF00002",0.184112244897959
"790","ZAF00003",0.064
"791","ZAF00004",0.28625
"792","ZAF00005",4.10767307692308
"793","ZAF00007",0.2627
"794","ZAF00008",0.155125
"795","ZAF00009",0.188395833333333
"796","ZAF00010",0.282615384615385
"797","ZAF00012",0.196090909090909
"798","ZAF00013",0.394448275862069
"799","ZAF00014",0.076
"800","ZAF00015",1.30856
"801","ARG00001",0.1964
"802","ARG00012",0.1822
"803","CAN00031",0.345
"804","CAN00037",0.383
"805","CAN00038",0.961
"806","CAN00039",0.336
"807","CAN00040",0.365
"808","CAN00041",0.213
"809","CAN00042",0.24
"810","CAN00043",1.19
"811","IND00002",0.326363636363636
"812","IND00004",0.158181818181818
"813","IND00005",0.147272727272727
"814","IND00007",0.195
"815","IND00009",0.3
"816","IND00010",0.825
"817","IND00031",0.146
"818","IND00044",0.109166666666667
"819","IND00045",0.2075
"820","IND00046",0.173727272727273
"821","IND00047",0.150090909090909
"822","IND00050",0.341583333333333
"823","IND00051",0.244916666666667
"824","IND00055",0.168181818181818
"825","IND00056",0.3425
"826","IND00062",0.547
"827","IND00063",0.21
"828","IND00064",0.06
"829","IND00065",0.209
"830","IND00066",0.144
"831","IND00067",0.6
"832","IND00068",0.254545454545455
"833","IND00072",0.115583333333333
"834","JPN00001",1
"835","JPN00003",2.15833333333333
"836","JPN00007",1.29666666666667
"837","JPN00010",0.35
"838","JPN00011",0.413333333333333
"839","JPN00013",1.025
"840","JPN00014",0.4825
"841","JPN00015",0.724166666666667
"842","JPN00016",0.06
"843","JPN00017",0.6075
"844","JPN00019",0.128333333333333
"845","JPN00020",0.1225
"846","JPN00021",0.7325
"847","JPN00022",0.295454545454545
"848","JPN00025",0.734083333333333
"849","JPN00026",0.245
"850","JPN00027",0.130833333333333
"851","JPN00028",1.11666666666667
"852","KHM00001",0.111583333333333
"853","KHM00002",0.1685
"854","KHM00003",0.146083333333333
"855","KHM00004",0.125666666666667
"856","KHM00006",0.182363636363636
"857","KHM00007",0.004
"858","KHM00008",0.084
"859","KHM00009",0.1955
"860","KHM00010",0.101
"861","KHM00011",0.147916666666667
"862","KHM00012",0.0466666666666667
"863","LAO00001",0.255833333333333
"864","LAO00002",0.279916666666667
"865","LAO00003",0.291583333333333
"866","LAO00019",0.35875
"867","LAO00020",0.211416666666667
"868","MAR00001",1.53
"869","MAR00006",1.57818181818182
"870","MAR00008",0.667272727272727
"871","NZL00005",0.016025
"872","NZL00006",0.240825
"873","NZL00007",0.08
"874","NZL00008",0.305183333333333
"875","NZL00009",0.32885
"876","NZL00010",0.178175
"877","NZL00011",0.320641666666667
"878","NZL00012",0.766875
"879","NZL00013",0.206591666666667
"880","NZL00014",0.346458333333333
"881","NZL00015",1.137225
"882","NZL00016",0.371541666666667
"883","NZL00017",0.00133333333333333
"884","NZL00018",0.374008333333333
"885","NZL00019",0.837125
"886","NZL00020",0.135516666666667
"887","NZL00021",0.474127272727273
"888","NZL00022",0.000983333333333333
"889","NZL00023",0.301425
"890","NZL00024",0.0508583333333333
"891","NZL00025",0.34415
"892","NZL00026",0.121175
"893","NZL00027",2.30789166666667
"894","NZL00028",0.211341666666667
"895","NZL00029",0.1342
"896","NZL00030",0.167541666666667
"897","NZL00031",0.721683333333333
"898","NZL00032",0.744466666666667
"899","NZL00033",0.762633333333333
"900","NZL00034",0.183108333333333
"901","NZL00035",0.292833333333333
"902","NZL00036",0.15645
