"","OBJECTID","n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban"
"595",595,212985.859375,130.008950982194,6902.66259765625,531,24600.0568374737,0.845423102378845,31.0541248321533,15,0.230536893010139,48,6776.6203591398,0
"596",596,131706.8125,132.151421214095,6471.62060546875,604,28816.2843894796,1.70630764961243,31.0541248321533,17,0.255332380533218,43,7587.23236118408,0
"597",597,241342.828125,126.944398060265,4369.0078125,515,540.902466892792,0.430999994277954,31.0541248321533,15,0.184804648160934,45,4670.26772973459,0
"598",598,89097.3828125,120.785942969945,40297.5234375,312,3773.99168282044,1.41100001335144,31.0541248321533,16,0.300921976566315,43,3949.47273785171,0
"599",599,7179.62548828125,125.060181899769,856.706298828125,695,0.696802033958992,0.520538449287415,31.0541248321533,15,0.249511435627937,42,1494.32041991859,0
"600",600,205993.421875,123.513454425612,4627.12451171875,386,754.538407136837,0.488038450479507,31.0541248321533,16,0.20318329334259,47,4900.7589184113,0
"601",601,8725.79296875,125.232301548295,356.863983154297,583,71934.2799290659,0.578923106193542,31.0541248321533,15,0.227285787463188,46,6632.8649313473,0
"602",602,62008.03515625,121.864024081119,1250.68286132812,609,9471.14317495311,9.92953872680664,31.0541248321533,14,0.400032222270966,47,1975.7437671809,0
"603",603,39115.76953125,106.35712691426,130.765960693359,319,831.102932720161,0.99123078584671,31.0541248321533,17,0.224798306822777,36,291.398077786928,0
"604",604,207729.5,123.50914091194,8562.4326171875,623,1005.11825230189,3.16973066329956,31.0541248321533,18,0.294905096292496,42,2803.70333850785,0
"605",605,187914.703125,106.603253223991,16009.2998046875,3,99.1250692526022,172.143157958984,31.0541248321533,29,0.281722515821457,29,2321.77635009842,0.0599999986588955
"606",606,41963.5234375,104.567410957446,45368.3359375,6,191.600621561837,0.00219230772927403,31.0541248321533,18,0.626373708248138,33,8838.60633403263,0.709999978542328
"607",607,159876.140625,121.332324857579,7786.04931640625,460,711.308859520137,0.189307689666748,31.0541248321533,18,0.258210062980652,40,3067.12801872905,0
"608",608,25822.29296875,121.099643760155,993.232238769531,488,23048.8532727609,3.28757691383362,31.0541248321533,12,0.353741347789764,48,3602.26809586686,0
"609",609,39578.88671875,104.600170499848,180.184921264648,421,1912.7668500774,1.24346160888672,31.0541248321533,14,0.260593444108963,42,1393.61366912428,0
"610",610,60226.51171875,104.673897651853,555.935607910156,401,825.687611351951,3.63473081588745,31.0541248321533,17,0.257174104452133,39,925.321442433728,0
"611",611,275663.75,120.694089024223,6786.40087890625,427,240.953343009294,1.16299998760223,31.0541248321533,19,0.265571743249893,40,1462.88242343827,0.400000005960464
"612",612,24949.5546875,111.122027864348,642.930786132812,260,658.988042725152,0.20023076236248,31.0541248321533,16,0.313274770975113,48,633.608029767181,0
"613",613,913514.8125,120.717300449631,16793.677734375,337,330.407771188788,0.294999986886978,31.0541248321533,19,0.302158832550049,40,1912.88345615265,0.209999993443489
"614",614,596612.875,121.38604649153,13287.515625,353,227.290540649598,0.318269222974777,31.0541248321533,21,0.224894672632217,38,2005.58954076941,0.00999999977648258
"615",615,1732.58361816406,97.3031075691831,1752.7216796875,15,210.691247208771,0.00161538471002132,31.0541248321533,21,0.219895288348198,34,117.834897301269,0
