"","OBJECTID","source","noxn"
"580",26,"GEMStat",0.1199
"581",26,"GEMStat",3.249375
"582",26,"GEMStat",1.52183333333333
"583",26,"GEMStat",0.363285714285714
"584",26,"GEMStat",2.49333333333333
"585",156,"Gu",0.9
"586",694,"Ouedraogo",0.4278
"587",320,"Gu",69.8
"588",1541,"USGS",0
"589",311,"Gu",0.7
"590",1543,"USGS",0
"591",581,"Gu",8.4
"592",1544,"USGS",4
"593",321,"Gu",84.9
"594",1547,"USGS",14
"595",529,"Gu",32.2
"596",1549,"USGS",9
"597",590,"Gu",2.5
"598",1550,"USGS",0
"599",596,"Gu",6.2
"600",1551,"USGS",7
"601",575,"Gu",3.4
"602",1552,"USGS",7
"603",504,"Gu",0.3
"604",1553,"USGS",8
"605",608,"Gu",9.5
"606",1555,"USGS",3
"607",27,"GEMStat",2.21833333333333
"608",27,"GEMStat",3.36083333333333
"609",27,"GEMStat",3.10833333333333
"610",27,"GEMStat",0.334166666666667
"611",27,"GEMStat",0.319833333333333
"612",27,"GEMStat",0.256666666666667
"613",27,"GEMStat",1.22333333333333
"614",27,"GEMStat",0.306583333333333
"615",27,"GEMStat",3.18909090909091
"616",27,"GEMStat",4.25
"617",27,"GEMStat",2.433
"618",27,"GEMStat",3.55
"619",27,"GEMStat",1.3024
"620",27,"GEMStat",1.377
"621",27,"GEMStat",1.77333333333333
"622",27,"GEMStat",5.56
"623",27,"GEMStat",0.02875
"624",27,"GEMStat",0.056
"625",27,"GEMStat",3.64333333333333
"626",27,"GEMStat",5.82636363636364
"627",27,"GEMStat",1.97090909090909
"628",27,"GEMStat",3.4805
"629",159,"Gu",9.9
"630",1726,"USGS",1
"631",328,"Gu",82.7
"632",1556,"USGS",6
"633",190,"Gu",1.1
"634",1557,"USGS",11
"635",313,"Gu",0.3
"636",1558,"USGS",4
"637",584,"Gu",2.2
"638",1559,"USGS",10
"639",572,"Gu",4.4
"640",1560,"USGS",12
"641",502,"Gu",0.4
"642",1561,"USGS",1
"643",589,"Gu",2.1
"644",1536,"USGS",1
"645",225,"Gu",15.6
"646",1538,"USGS",7
"647",283,"Gu",19.8
"648",1539,"USGS",5
"649",535,"Gu",0.5
"650",1542,"USGS",21
"651",28,"GEMStat",0.0353333333333333
"652",28,"GEMStat",0.317166666666667
"653",28,"GEMStat",0.36
"654",28,"GEMStat",0.2475
"655",28,"GEMStat",0.5595
"656",28,"GEMStat",0.55425
"657",28,"GEMStat",0.705818181818182
"658",28,"GEMStat",0.746666666666667
"659",28,"GEMStat",0.625333333333333
"660",28,"GEMStat",0.666666666666667
"661",28,"GEMStat",0.595333333333333
"662",127,"Gu",0.5
"663",1728,"USGS",2
"664",332,"Gu",1.3
"665",1545,"USGS",15
"666",333,"Gu",2.2
"667",1546,"USGS",0
"668",334,"Gu",3.7
"669",1548,"USGS",8
"670",189,"Gu",0.3
"671",1554,"USGS",2
"672",345,"Gu",2.9
"673",601,"Gu",6.6
"674",344,"Gu",1.5
"675",457,"Gu",18.4
"676",337,"Gu",3
"677",341,"Gu",1.9
"678",29,"GEMStat",9.94633333333333
"679",29,"GEMStat",11.025
"680",29,"GEMStat",11.608
"681",29,"GEMStat",12.1
"682",126,"Gu",0.7
"683",1729,"USGS",3
"684",262,"Gu",15
"685",338,"Gu",2.7
"686",513,"Gu",0.4
"687",336,"Gu",3.4
"688",340,"Gu",3.3
"689",339,"Gu",3.1
"690",349,"Gu",7.5
"691",353,"Gu",18.9
"692",350,"Gu",5.55
"693",352,"Gu",4.9
"694",3,"GEMStat",0.846
"695",3,"GEMStat",2.107
"696",3,"GEMStat",1.3625
"697",455,"Gu",1.7
"698",1754,"USGS",13
"699",30,"GEMStat",4.115
"700",30,"GEMStat",7.26666666666667
"701",30,"GEMStat",5.72666666666667
"702",30,"GEMStat",10.307
"703",131,"Gu",10.6
"704",698,"Ouedraogo",5.9386
"705",1730,"USGS",6
"706",356,"Gu",5.1
"707",1509,"USGS",0
"708",348,"Gu",3.6
"709",1510,"USGS",0
"710",360,"Gu",45.3
"711",1511,"USGS",0
"712",578,"Gu",2.3
"713",1512,"USGS",0
"714",346,"Gu",0.6
"715",1513,"USGS",0
"716",357,"Gu",5.6
"717",1514,"USGS",0
"718",503,"Gu",0.4
"719",1515,"USGS",0
"720",322,"Gu",0.9
"721",1516,"USGS",0
"722",585,"Gu",3.2
"723",1517,"USGS",0
"724",305,"Gu",0.7
"725",1518,"USGS",0
"726",31,"GEMStat",3.87
"727",31,"GEMStat",4.73666666666667
"728",31,"GEMStat",2.75
"729",130,"Gu",4.6
"730",1731,"USGS",3
"731",594,"Gu",6.4
"732",1519,"USGS",0
"733",326,"Gu",0.6
"734",1520,"USGS",0
"735",370,"Gu",15.3
"736",1521,"USGS",0
"737",588,"Gu",3.1
"738",1522,"USGS",0
"739",260,"Gu",1.2
"740",1523,"USGS",0
"741",331,"Gu",3.1
"742",1524,"USGS",0
"743",554,"Gu",8.25
"744",1768,"USGS",0
"745",284,"Gu",13.1
"746",1525,"USGS",0
"747",285,"Gu",17.6
"748",1526,"USGS",0
"749",358,"Gu",4.3
"750",1527,"USGS",0
"751",32,"GEMStat",1.8
"752",32,"GEMStat",1.253
"753",32,"GEMStat",1.73475
"754",129,"Gu",1
"755",1732,"USGS",4
"756",236,"Gu",8.7
"757",1528,"USGS",1
"758",579,"Gu",5.6
"759",1529,"USGS",4
"760",256,"Gu",5.8
"761",1530,"USGS",0
"762",263,"Gu",0.5
"763",1531,"USGS",0
"764",265,"Gu",2.9
"765",1532,"USGS",0
"766",261,"Gu",15
"767",1477,"USGS",17
"768",387,"Gu",34.2
"769",1478,"USGS",62
"770",254,"Gu",3.8
"771",1479,"USGS",19
"772",264,"Gu",2.1
"773",1480,"USGS",10
"774",335,"Gu",0.8
"775",1481,"USGS",8
"776",33,"GEMStat",2.03666666666667
"777",33,"GEMStat",1.38733333333333
"778",33,"GEMStat",2.1
"779",122,"Gu",0.6
"780",1733,"USGS",0
"781",136,"Gu",1.55
"782",1482,"USGS",22
"783",475,"Gu",1
"784",1483,"USGS",4
"785",259,"Gu",2.9
"786",1484,"USGS",3
"787",580,"Gu",12.4
"788",1485,"USGS",18
"789",540,"Gu",0.4
"790",1486,"USGS",3
"791",135,"Gu",1.15
"792",1487,"USGS",15
"793",329,"Gu",0.2
"794",1488,"USGS",5
"795",151,"Gu",1.4
"796",1489,"USGS",15
"797",471,"Gu",0.2
"798",1490,"USGS",9
"799",257,"Gu",1
"800",1491,"USGS",37
"801",34,"GEMStat",3.275
"802",34,"GEMStat",10
"803",34,"GEMStat",23.34
"804",34,"GEMStat",15.02
"805",125,"Gu",35.6
"806",1734,"USGS",2
"807",133,"Gu",21.6
"808",1492,"USGS",13
"809",599,"Gu",4.3
"810",1493,"USGS",16
"811",134,"Gu",3.4
"812",134,"Gu",4.2
"813",1494,"USGS",7
"814",444,"Gu",0.4
"815",1495,"USGS",7
"816",371,"Gu",0.2
"817",1496,"USGS",2
"818",464,"Gu",0.4
"819",1497,"USGS",6
"820",267,"Gu",8.2
"821",1498,"USGS",1
"822",461,"Gu",0.1
"823",1499,"USGS",2
"824",453,"Gu",1.6
"825",1500,"USGS",7
"826",459,"Gu",1.9
"827",1501,"USGS",3
"828",35,"GEMStat",4.975
"829",35,"GEMStat",4.02
"830",35,"GEMStat",16.008
"831",35,"GEMStat",15.6495
"832",132,"Gu",10.2
"833",1736,"USGS",3
"834",566,"Gu",0
"835",1502,"USGS",7
"836",152,"Gu",2.3
"837",1503,"USGS",3
"838",458,"Gu",0.4
"839",1504,"USGS",3
"840",148,"Gu",1.8
"841",1505,"USGS",4
"842",467,"Gu",69.6
"843",1506,"USGS",0
"844",569,"Gu",40.6
"845",1507,"USGS",4
"846",160,"Gu",1.85
"847",1508,"USGS",1
"848",568,"Gu",16.9
"849",1443,"USGS",2
"850",466,"Gu",15.7
"851",1444,"USGS",5
"852",143,"Gu",1.4
"853",1445,"USGS",9
"854",36,"GEMStat",0
"855",36,"GEMStat",5.5
"856",36,"GEMStat",2.66666666666667
"857",123,"Gu",6.8
"858",704,"Ouedraogo",15.732
"859",1738,"USGS",2
"860",392,"Gu",6.4
"861",1447,"USGS",0
"862",246,"Gu",7.1
"863",1448,"USGS",0
"864",479,"Gu",3.2
"865",1449,"USGS",0
"866",235,"Gu",6.8
"867",1450,"USGS",0
"868",306,"Gu",4.2
"869",1451,"USGS",7
"870",431,"Gu",1.9
"871",1452,"USGS",0
"872",409,"Gu",0.7
"873",1453,"USGS",6
"874",380,"Gu",36.6
"875",380,"Gu",9.3
"876",1454,"USGS",5
"877",407,"Gu",8.6
"878",407,"Gu",6.3
"879",1455,"USGS",11
"880",427,"Gu",11.8
"881",1456,"USGS",13
"882",37,"GEMStat",2.66666666666667
"883",37,"GEMStat",5.5
"884",37,"GEMStat",0
"885",124,"Gu",32.2
"886",1740,"USGS",2
"887",433,"Gu",4.2
"888",1457,"USGS",3
"889",483,"Gu",3
"890",1459,"USGS",7
"891",436,"Gu",1.8
"892",1460,"USGS",0
"893",419,"Gu",10.5
"894",1461,"USGS",1
"895",428,"Gu",12.8
"896",1462,"USGS",1
"897",416,"Gu",2.8
"898",1463,"USGS",13
"899",266,"Gu",4.7
"900",1464,"USGS",6
"901",137,"Gu",0.6
"902",1465,"USGS",8
"903",139,"Gu",1.4
"904",1467,"USGS",0
"905",140,"Gu",0.7
"906",1468,"USGS",0
"907",38,"GEMStat",2.6125
"908",38,"GEMStat",5
"909",38,"GEMStat",1.305
"910",217,"Gu",0.9
"911",706,"Ouedraogo",3.3833
"912",1741,"USGS",5
"913",138,"Gu",1
"914",1470,"USGS",3
"915",154,"Gu",1
"916",1471,"USGS",0
"917",141,"Gu",1.3
"918",1473,"USGS",2
"919",563,"Gu",24.8
"920",1474,"USGS",0
"921",146,"Gu",0.6
"922",1475,"USGS",7
"923",155,"Gu",1
"924",1476,"USGS",1
"925",403,"Gu",1.8
